Name,Year,Authors,Description,Sector,Who Participates,How Many People Participate,Is the Participation Voluntary,Is the participation Intended,When Do You Participate,Where Do You Participate,What's the Medium of Participation,What's the User Input,What Changes,What's the Target,How do You Participate,What are the Output Applications,Who can see the Applications,Where are the Elements Integrated Into,Tag
RHIZOME 2001,2001,Surface,"A Participação é feita através do IP do computador que acede ao Website, influenciando o símbolo",,Anyone,Multiple People,Involuntary,Intended,After the Design Process,Anywhere,"Computer, Mobile",Data,Unsure,Symbol,Element Reactivity,Website/App Content,The Public,System,DVI
SEED MEDIA GROUP,2005,Sagmeister Inc.,A forma do símbolo reage aos retratos das pessoas,,Staff,One Person,Involuntary,Emergent,After the Design Process,Entity Location,Unsure,Image,Color,Symbol,Element Reactivity,Printed Materials,The Public,System,DVI
CASA DA MÚSICA,2007,Stefan Sagmeister,Manipulação de Parâmetros (Cor) e Escolha do símbolo resultante,,Staff,One Person,Voluntary,Intended,After the Design Process,Entity Location,Computer,Parameters/Options,"Color, Shape",Symbol,Element Manipulation,Printed Materials,The Public,System,DVI
GET UP,2007,Alexis Rom Estudio,Carimbos de cabelos e caras podem ser conjugados entre si,,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Entity Location,Physical,Object Manipulation,"Color, Combination, Positioning",System,Element Combination,Printed Materials,The Public,System,DVI
ONEDOTZERO,2009,"Wieden + Kennedy, Karsten Schmidt",Opiniões retiradas de redes sociais e blogs. Foi feita também uma instalação que permitia uma participação mais direta com a Identidade.,,Anyone,Multiple People,Mixed,Intended,After the Design Process,Anywhere,"Computer, Mobile","Data, Text",Content,Logotype,Element Reactivity,"Installation, Overall Usage",The Public,System,DVI
DECODE,2009,Karsten Schmidt,Manipulação de Parâmetros / Alteração do Código Fonte,,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile",Parameters/Options,"Content, Shape",System,"Element Creation, Element Manipulation",Overall Usage,The Public,System,DVI
DESIGN ACADEMY EINDHOVEN,2010,The Stone Twins,Escrita de mensagens,"Culture, Education","Staff, Students",One Person,Voluntary,Intended,After the Design Process,Unsure,Physical,Drawing/Writing,"Color, Content",Logotype,Element Creation,Overall Usage,The Public,System,DVI
MIT MEDIA LAB,2011, E Roon Kang & Richard The,Escolha e apropriação da versão/Animação customizada,Education,"Staff, Students",One Person,Voluntary,Intended,After the Design Process,Anywhere,Computer,Parameters/Options,Unsure,Symbol,Element Manipulation,Printed Materials,The Public,System,DVI
OCAD UNIVERSITY,2011,Bruce Mau Design,Produção de grafismo para a marca gráfica,,Students,One Person,Voluntary,Intended,After the Design Process,Unsure,"Computer, Mobile, Physical",Image,Content,Symbol,Element Creation,Overall Usage,The Public,System,DVI
È BOLOGNA,2013,Matteo Bartoli & Michele Pastore,Escrita de algo que representa Bolonha (Bolonha é _____),,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile","Parameters/Options, Text","Color, Combination, Content","Logotype, Symbol","Element Combination, Element Manipulation, Element Reactivity",Overall Usage,The Public,System,DVI
ART NOT VANDALISM,2018,Stephen Rossi,Produção de Graffitis,,Anyone,One Person,Voluntary,Intended,After the Design Process,Workshops,Physical,Drawing/Writing,Content,System,Element Creation,Printed Materials,The Public,System,DVI
