Name,Year,Authors,Description,Sector,Who participates?,How many people?,Is it voluntary?,Is it intended?,When?,Where?,How?,What's the medium?,What's the user input?,What changes?,What's the target?,Where are the elements integrated into?,What are the output applications?,Who are the applications accessible to?
Rhizome 2001,2001,Surface,"A Participação é feita através do IP do computador que acede ao Website, influenciando o símbolo","Art and Design, Education and Research, Technology and Information",Anyone,Multiple People,Involuntary,Intended,After the Design Process,Anywhere,Element Reactivity,"Computer, Mobile",Data,Unsure,"Marca gráfica, Symbol",System,Digital Content,The Public
Seed Media Group,2005,Sagmeister Inc.,A forma do símbolo reage aos retratos das pessoas,"Education and Research, Healthcare and Science, Media and Communication",Staff,One Person,Involuntary,Emergent,After the Design Process,Entity Location,Element Reactivity,Unsure,Image,Color,"Marca gráfica, Symbol",System,Printed Materials,The Public
Casa da Música,2007,Stefan Sagmeister,Manipulação de Parâmetros (Cor) e Escolha do símbolo resultante,"Culture, Music and Entertainment",Staff,One Person,Voluntary,Intended,After the Design Process,Entity Location,Element Manipulation,Computer,Parameters/Options,"Color, Shape","Marca gráfica, Symbol",System,Printed Materials,The Public
Get Up,2007,Alexis Rom Estudio,Carimbos de cabelos e caras podem ser conjugados entre si,Services,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Entity Location,Element Combination,Physical,Object Manipulation,"Color, Combination, Positioning",System,System,Printed Materials,The Public
Onedotzero,2009,"Wieden + Kennedy, Karsten Schmidt",Opiniões retiradas de redes sociais e blogs. Foi feita também uma instalação que permitia uma participação mais direta com a Identidade.,"Art and Design, Events and Exhibitions, Technology and Information",Anyone,Multiple People,"Involuntary, Voluntary",Intended,After the Design Process,Anywhere,Element Reactivity,"Computer, Mobile","Data, Text",Content,"Logotype, Marca gráfica",System,"Installation, Overall Usage",The Public
Decode,2009,Karsten Schmidt,Manipulação de Parâmetros / Alteração do Código Fonte,"Art and Design, Technology and Information",Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Element Creation, Element Manipulation","Computer, Mobile",Parameters/Options,"Content, Shape",System,System,Overall Usage,The Public
Design Academy Eindhoven,2010,The Stone Twins,Escrita de mensagens,"Art and Design, Culture, Education and Research","Staff, Students",One Person,Voluntary,Intended,After the Design Process,Unsure,Element Creation,Physical,Drawing or Writing,"Color, Content","Logotype, Marca gráfica",System,Overall Usage,The Public
MIT Media Lab,2011, E Roon Kang & Richard The,Escolha e apropriação da versão/Animação customizada,Education and Research,"Staff, Students",One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,Computer,Parameters/Options,Unsure,"Marca gráfica, Symbol",System,Printed Materials,The Public
OCAD University,2011,Bruce Mau Design,Produção de grafismo para a marca gráfica,"Art and Design, Education and Research",Students,One Person,Voluntary,Intended,After the Design Process,Unsure,Element Creation,"Computer, Mobile, Physical",Image,Content,"Marca gráfica, Symbol",System,Overall Usage,The Public
È Bologna,2013,Matteo Bartoli & Michele Pastore,Escrita de algo que representa Bolonha (Bolonha é _____),Public Administration,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Element Combination, Element Manipulation, Element Reactivity","Computer, Mobile","Parameters/Options, Text","Color, Combination, Content","Logotype, Marca gráfica, Symbol",System,Overall Usage,The Public
Art Not Vandalism,2018,Stephen Rossi,Produção de Graffitis,"Art and Design, Culture",Anyone,One Person,Voluntary,Intended,After the Design Process,Workshops,Element Creation,Physical,Drawing or Writing,Content,System,System,Printed Materials,The Public
L´autre Soie,2019,Graphéine,Desenho,"Community Development, Culture, Non-Profit Organizations","Anyone, Attendees",One Person,Voluntary,Intended,After the Design Process,"Anywhere, Workshops",Element Creation,"Computer, Mobile, Physical",Drawing or Writing,"Color, Content",System,System,Overall Usage,The Public
The Pulse,2019,Patrik Hubner,Opiniões retiradas do Twitter,"Education and Research, Technology and Information",Anyone,Multiple People,Involuntary,Intended,After the Design Process,Anywhere,Element Reactivity,"Computer, Mobile",Data,"Color, Repetition, Scaling",System,System,Overall Usage,The Public
Generaxion,2021,Heydays Studio,"Manipulação de Parâmetros ","Media and Communication, Services",Staff,One Person,Voluntary,Intended,After the Design Process,Unsure,Element Manipulation,Mobile,Parameters/Options,Shape,"Marca gráfica, Symbol",System,Printed Materials,The Public
Rhizome 2023,2023,Mindy Seu and Laura Coombs,Distância da pessoa ao escritório da Rhizome (NY),"Art and Design, Education and Research, Technology and Information",Anyone,Multiple People,Involuntary,Intended,After the Design Process,Anywhere,Element Reactivity,"Computer, Mobile",Data,Unsure,"Marca gráfica, Symbol",System,Digital Content,The Public
Espoo Theatre,2024,Great Apes Studio,"Manipulação de Parâmetros ","Culture, Music and Entertainment","Guest Artists, Staff",One Person,Voluntary,Intended,After the Design Process,Unsure,Element Manipulation,Unsure,Parameters/Options,"Color, Shape","Marca gráfica, Symbol",System,Overall Usage,The Public
Avo Consulting,2020,Bleed,Fazer versões do logo através dos Avodings,"Services, Technology and Information",Staff,One Person,Voluntary,Intended,After the Design Process,Unsure,Element Combination,Unsure,Parameters/Options,Combination,"Logotype, Marca gráfica",System,Overall Usage,The Public
Atmata,2023,Preksha Shah,Desenho/Expressão Artística,Non-Profit Organizations,Attendees,Multiple People,Voluntary,Intended,During the Design Process,Workshops,Element Creation,Physical,Drawing or Writing,Content,"Logotype, Marca gráfica, System",System,Overall Usage,The Public
Bauhaus 100,2019,ken-tsai Lee,Utilização de formas numa grelha para criar novas expressões,"Art and Design, Culture, Events and Exhibitions",Anyone,"Multiple People, One Person",Voluntary,Intended,After the Design Process,"Home, Museums/Galleries, Outside",Element Combination,Physical,Object Manipulation,"Color, Combination",System,System,Overall Usage,The Public
"Nae,",2020,Soluble Studio,Escolha de fonte e cor para o logotipo,"Services, Technology and Information",Staff,One Person,Voluntary,Intended,After the Design Process,"Anywhere, Workshops",Element Manipulation,"Computer, Mobile, Physical","Object Manipulation, Parameters/Options","Color, Shape","Logotype, Marca gráfica",System,Overall Usage,The Public
QoQa,2024,Base Design,Customização de uma mascote,Commerce,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Combination,"Computer, Mobile",Parameters/Options,Combination,System Element,System,Digital Content,The Public
Saveme,2021,SKINN,Expressão criativa (desenho/colagem/escrita),Commerce,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Creation,"Computer, Mobile",Drawing or Writing,Content,System,System,Product Packaging,The Public
Outschool,2022,Geist,"Manipulação de formas ",Education and Research,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile",Parameters/Options,Shape,System Element,System,Overall Usage,The Public
