Name,Year,Authors,Description,Sector,Who participates?,How many people?,Is it voluntary?,Is it intended?,When?,Where?,How?,What's the medium?,What's the user input?,What changes?,What's the target?,Where are the elements integrated into?,What are the output applications?,Who are the applications accessible to?,Tag
Rhizome 2001,2001,Surface,"The Rhizome 2001 logo is an example of a generative graphic mark that never looks the same. Designed by Markus Weisbeck and Frank Hauschild of Surface, the logo dynamically changes in real-time based on the IP addresses of the last four visitors to the website. This continuous evolution creates a constantly shifting visual identity that reflects the Rhizome’s innovative values.","Art and Design, Education and Research, Technology and Information",Anyone,Multiple People,Involuntary,Intended,After the Design Process,Anywhere,Element Reactivity,"Computer, Mobile",Data,Unsure,"Marca gráfica, Symbol",System,Digital Content,The Public,DVI
Seed Media Group,2005,Sagmeister Inc.,"The Seed Media Group’s identity is a visual embodiment of science and media. Inspired by the phyllotaxis shape, that is a natural occurring pattern, the design creates an adaptable system. The symbol adapts to its context, reflecting the environment, using approaches from iridescent effects to personalized portraits.","Education and Research, Healthcare and Science, Media and Communication",Staff,One Person,Involuntary,Emergent,After the Design Process,Entity Location,Element Reactivity,Unsure,Image,Color,"Marca gráfica, Symbol",System,Printed Materials,The Public,DVI
Casa da Música,2007,Stefan Sagmeister,"The identity for Casa da Música embraces the building itself as a symbol. Rather than a static image, each application reveals different facets of the building and different colors that represent the different kinds of music, creating a dynamic system. A tool was created to generate new variations of the symbol and the Casa da Música staff is invited to create their own personal version.","Culture, Music and Entertainment",Staff,One Person,Voluntary,Intended,After the Design Process,Entity Location,Element Manipulation,Computer,Parameters/Options,"Color, Shape","Marca gráfica, Symbol",System,Printed Materials,The Public,DVI
Get Up,2007,Alexis Rom Estudio,"The Get Up project is an innovative visual identity for a Barcelona hair salon. Instead of a conventional logo, the studio created a DIY stamp kit with interchangeable haircuts and faces, allowing clients to customize their own branding.",Services,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Entity Location,Element Combination,Physical,Object Manipulation,"Color, Combination, Positioning",System,System,Printed Materials,The Public,DVI
Onedotzero,2009,"Wieden + Kennedy, Karsten Schmidt","For the 2009 onedotzero festival, Wieden & Kennedy created a participatory identity using custom software that turned live social media conversations into text strands that formed the festival logo. In addition to the identity an installation was created where visitors used mobile devices to send and manipulate messages via gestures.","Art and Design, Events and Exhibitions, Technology and Information",Anyone,Multiple People,"Involuntary, Voluntary",Intended,After the Design Process,Anywhere,Element Reactivity,"Computer, Mobile","Data, Text",Content,"Logotype, Marca gráfica",System,"Installation, Overall Usage",The Public,DVI
Decode,2009,Karsten Schmidt,"The Decode exhibition features digital design themes like code, interactivity, and networks. Karsten Schmidt created an open-source, interactive digital identity that anyone can customize, weather using the available parameters or altering the source code. A public “recode” contest invites people to rewrite the code, with selected works displayed on London Underground screens.","Art and Design, Technology and Information",Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Element Creation, Element Manipulation","Computer, Mobile",Parameters/Options,"Content, Shape",System,System,Overall Usage,The Public,DVI
Design Academy Eindhoven,2010,The Stone Twins,"The Design Academy Eindhoven rebrand highlights students as the core of the identity. A dynamic logo was developed, based on an ‘E’  that creates a frame for handwritten taglines. This participatory system encourages creative expression and gives the students and staff the opportunity to be a part of the brand.","Art and Design, Culture, Education and Research","Staff, Students",One Person,Voluntary,Intended,After the Design Process,Unsure,Element Creation,Physical,Drawing or Writing,"Color, Content","Logotype, Marca gráfica",System,Overall Usage,The Public,DVI
MIT Media Lab,2011, E Roon Kang & Richard The,"The MIT Media Lab’s visual identity intends to reflect its diverse, collaborative community. The logo is built by three shapes, representing individual contributions, that combine into a dynamic form that portray the evolving nature of media and technology. An algorithm generates a single logo for each faculty, staff, and student for them to choose and use. Also, a custom web interface and animation software was developed to create personalized logos and dynamic visuals.",Education and Research,"Staff, Students",One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile",Parameters/Options,Unsure,"Marca gráfica, Symbol",System,Printed Materials,The Public,DVI
OCAD University,2011,Bruce Mau Design,"The visual identity for the OCAD University was inspired by the modular windows of its Sharp Centre for Design. The window shape acts like a frame and the symbol evolves annually by inviting graduating students to design new variations within that framework, creating a participatory and flexible brand that adapts across media.","Art and Design, Education and Research",Students,One Person,Voluntary,Intended,After the Design Process,Unsure,Element Creation,"Computer, Mobile, Physical",Image,Content,"Marca gráfica, Symbol",System,Overall Usage,The Public,DVI
È Bologna,2013,Matteo Bartoli & Michele Pastore,"The approach to the Bologna's city branding allows diverse individuals to contribute to the city's visual identity. Recognizing Bologna's multifaceted character an alphabet was created with abstract geometric symbols. This system enables users to generate personalized symbols, through an online platform, by expressing what is Bologna to them. They also can adjust the colors of the resulting symbol. Moreover, a symbol structure was created for the different areas of operation.",Public Administration,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Element Combination, Element Manipulation, Element Reactivity","Computer, Mobile","Parameters/Options, Text","Color, Combination, Content","Logotype, Marca gráfica, Symbol",System,Overall Usage,The Public,DVI
